# 0:bincenter 1:Deltasigma_num 2:Sumwls 3:Sumwlsms 4:DeltaSigma 5:Sumwls_by_sumwl 6:rmin/2+rmax/2 7:DeltaSigma_cross 8:Sum_srcwt_per_lens 9:TotalSum_srcwt 10:SN_ErrDeltaSigma 11:SN_ErrDeltaSigma_cross 12:Jackknife_region 
-5.989700e-01 1.173758e+01 4.543270e-01 2.958240e-01 3.967759e+01 2.559444e-05 2.584893e-01 5.001928e+00 5.499127e+00 9.761500e+04 2.346589e+00 2.352012e+00 4
-3.989700e-01 2.158107e+01 1.108613e+00 7.280455e-01 2.964248e+01 6.245355e-05 4.096780e-01 5.527991e-01 1.345107e+01 2.387700e+05 1.480184e+00 1.466915e+00 4
-1.989700e-01 3.053480e+01 2.765402e+00 1.810054e+00 1.686956e+01 1.557885e-04 6.492958e-01 -7.022025e-01 3.353603e+01 5.952980e+05 9.330844e-01 9.333114e-01 4
1.029996e-03 4.974972e+01 6.890884e+00 4.495863e+00 1.106567e+01 3.881970e-04 1.029065e+00 5.696668e-01 8.363844e+01 1.484666e+06 5.896316e-01 5.908780e-01 4
2.010300e-01 7.595086e+01 1.720073e+01 1.122262e+01 6.767660e+00 9.690006e-04 1.630957e+00 -2.650332e-01 2.087806e+02 3.706065e+06 3.730646e-01 3.733683e-01 4
4.010300e-01 1.011898e+02 4.308231e+01 2.813796e+01 3.596203e+00 2.427036e-03 2.584893e+00 2.824149e-01 5.228953e+02 9.281914e+06 2.354802e-01 2.357223e-01 4
6.010300e-01 1.353853e+02 1.080685e+02 7.058474e+01 1.918053e+00 6.088022e-03 4.096780e+00 1.099428e-01 1.311055e+03 2.327254e+07 1.487157e-01 1.487067e-01 4
8.010300e-01 2.137473e+02 2.704930e+02 1.766814e+02 1.209790e+00 1.523819e-02 6.492958e+00 -1.889770e-03 3.280766e+03 5.823687e+07 9.395773e-02 9.398450e-02 4
1.001030e+00 3.134711e+02 6.756043e+02 4.412179e+02 7.104678e-01 3.806007e-02 1.029065e+01 1.104689e-02 8.189377e+03 1.453696e+08 5.948112e-02 5.947596e-02 4
1.201030e+00 5.613495e+02 1.682158e+03 1.098402e+03 5.110603e-01 9.476415e-02 1.630957e+01 -9.390244e-03 2.036997e+04 3.615873e+08 3.768620e-02 3.769202e-02 4
